LEI_Code;Name
635400AKJBGNS5WNQL34;AIB Group plc
EQYXK86SF381Q21S3020;Bank of America Europe Designated Activity Company
635400C8EK6DRI12LJ39;Bank of Ireland Group plc
2G5BKIC2CB69PRJH1W31;Barclays Bank Ireland plc
N1FBEDJ5J41VKZLO2475;Citibank Europe plc
7LVZJ6XRIE7VNZ4UBX81;BANCA MEDIOLANUM S.P.A.
J48C8PCSJVUBR8KCW529;BANCA POPOLARE DI SONDRIO SOCIETA' PER AZIONI
815600E4E6DCD2D25E30;BANCO BPM SOCIETA' PER AZIONI
N747OI7JINV7RUUH6190;BPER Banca S.p.A.
J4CP7MHCXR8DAQMKIL78;Banca Monte dei Paschi di Siena S.p.A.
LOO0AWXR8GF142JCO404;CASSA CENTRALE BANCA
815600AD83B2B6317788;CREDITO EMILIANO HOLDING SOCIETA' PER AZIONI
549300L7YCATGO57ZE10;FINECOBANK S.P.A.
NNVPP80YIZGEY2314M97;ICCREA BANCA S.P.A.
2W8N8UU78PMDQKZENC08;Intesa Sanpaolo S.p.A.
PSNL19R2RXX5U3QWHI44;Mediobanca - Banca di Credito Finanziario S.p.A.
549300TRUWO2CD2G5692;UNICREDIT, SOCIETA' PER AZIONI
5493009EIBTCB1X12G89;LGT Group Foundation
529900OE1FOAM50XLP72;Liechtensteinische Landesbank AG
549300TK038P6EV4YU51;Akcinė bendrovė Šiaulių bankas
485100FX5Y9YLAQLNP12;Revolut Holdings Europe UAB
9CZ7TVMR36CYD5TZBS50;Banque Internationale à Luxembourg
R7CQUF1DQM73HUTV1078;Banque et Caisse d´Epargne de l´Etat, Luxembourg
2138009Y59EAR7H1UO97;"Akciju sabiedrība ""Citadele banka"""
529900RWC8ZYB066JF16;Bank of Valletta Plc
213800TC9PZRBHMJW403;MDB Group Limited
BFXS5XCH7N0Y05NIXW11;ABN AMRO Bank N.V.
529900GGYMNGRQTDOO93;BNG Bank N.V.
DG3RU1DBUFHT4ZF9WN62;Coöperatieve Rabobank U.A.2
549300NYKK9MWM7GGW15;ING Groep N.V.
JLP5FSPH9WPSHY3NIM24;Nederlandse Waterschapsbank N.V.
724500JIWG886A9RRT57;RBS Holdings N.V.
724500A1FNICHSDF2I11;de Volksbank N.V.
549300GKFG0RYRRQ1414;DNB BANK ASA
7V6Z97IO7R1SEAO84Q32;SpareBank 1 SMN
549300Q3OIWRHQUQM052;SpareBank 1 Sør-Norge
5493000LKS7B3UTF7H35;Bank Polska Kasa Opieki S.A.
P4GTT6GF1W40CVIMFR43;Powszechna Kasa Oszczednosci Bank Polski S.A.
JU1U6S0DG9YLT7N8ZV32;Banco Comercial Português, SA
TO822O0VT80V06K0FH57;Caixa Geral de Depósitos, S.A.
222100K6QL2V4MLHWQ08;LSF NANI INVESTMENTS S.A R.L.
549300RG3H390KEL8896;Banca Transilvania
2138008AVF4W7FMW8W87;CEC BANK SA
EV2XZWMLLXF2QRX0CD47;Kommuninvest - Grupp
549300C6TUMDXNOVXS82;Länsförsäkringar Bank AB - gruppen
H0YX5LBGKDVOWCXBZ594;SBAB Bank AB - Grupp
F3JS33DEI6XQ4ZBPTN86;Skandinaviska Enskilda Banken - gruppen
NHBDILHZTYCNBV5UYZ31;Svenska Handelsbanken - gruppen
M312WZV08Y7LYUC71685;Swedbank - Grupp
213800HDJ876ACJXXD05;AIKGROUP (CY) LIMITED
5493001BABFV7P27OW30;Nova Ljubljanska Banka d.d., Ljubljana
xxxxxxxxxxxxxxxxxxxx;All other banks
